X,Y,LINE,NAME,DISTRICT,SECTOR,STATION_ID,NOTE
986167,193382,"2,3","Clark Street","30","A",334,"2-all times, 3-all times exc nights"
983214,203861,"A,C,E","Spring Street","02","",168,"A-nights, C-all other times, E-all times"
988392,190861,"2,3","Hoyt Street","30","A",336,"2-all times, 3-all times exc nights"
982313,199141,"R,W","City Hall","02","",20,"N-nights, R-all other times"
990476,188630,"2,3,4,5","Atlantic Avenue / Barclays Center","32","",338,"2,4-all times, 3-all times exc nights, 5-weekdays"
981870,199447,"A,C","Chambers Street","02","",170,"A-all times, C-all times exc nights"
992306,185306,"2,3","Grand Army Plaza","32","",340,"4-nights, 3-all other times, 2-all times"
1023050,191577,"J,Z","85 Street / Forest Parkway","20","",84,"J-all times"
998002,183357,"3","Nostrand Avenue","32","",343,"4-nights, 3-all other times"
982137,198008,"A,C","Fulton Street / Broadway / Nassau Street","02","",172,"A-all times, C-all times exc nights"
1005745,181478,"3","Sutter Avenue / Rutland Road","32","",346,"4-nights, 3-all other times"
994784,180330,"B,Q,S","Prospect Park","32","",42,"B-weekdays and evenings, Q,S to Franklin Av-Fulton St-all times"
1009508,180699,"3","Rockaway Avenue","32","",348,"4-nights, 3-all other times"
987795,191562,"A,C,F","Jay Street / Metrotech","30","A",174,"A,F-all times, C-all times exc nights"
1013412,181467,"3","Pennsylvania Avenue","32","",350,"4-nights, 3-all other times"
1019381,190548,"J","Cypress Hills","33","",86,"J-all times"
1016400,182054,"3","New Lots Avenue","32","",352,"4-nights, 3-all other times"
991476,189247,"A,C","Lafayette Avenue","30","A",176,"A-nights, C-all other times"
997920,180746,"2,5","Sterling Street","32","",354,"2-all times, 5-weekdays"
1002854,213536,"N,W","39 Avenue","20","",6,"N-all times, W part time"
998275,176407,"2,5","Church Avenue","32","",356,"2-all times, 5-weekdays"
996219,187524,"A,C","Franklin Avenue","30","A",178,"A-nights, C-all other times"
998598,172447,"2,5","Newkirk Avenue","32","",358,"2-all times, 5-weekdays"
1017637,187595,"J,Z","Norwood Avenue","33","",88,"Z-rush hours AM westbound, PM eastbound, J-all other times"
1031800,249899,"6","Pelham Bay Park","12","C",360,"6 Express-weekdays AM southbound, PM northbound, 6-all other times"
1000654,186995,"A,C","Kingston / Throop Avenues","33","",180,"A-nights, C-all other times"
1029537,246762,"6","Middletown Road","12","C",362,"6 Express-weekdays AM southbound, PM northbound, 6-all other times"
994550,176271,"B,Q","Church Avenue","32","",44,"B-weekdays and evenings, Q-all times"
1026577,244069,"6","Zerega Avenue","12","C",364,"6 Express-weekdays AM southbound, PM northbound, 6-all other times"
1006221,186600,"A,C","Ralph Avenue","33","",182,"A-nights, C-all other times"
1022766,242875,"6","Parkchester / East 177 Street","12","C",366,"6-all times, 6 Express-weekdays AM southbound, PM northbound"
1014301,186319,"J,Z","Van Siclen Avenue","33","",90,"Z-rush hours AM westbound, PM eastbound, J-all other times"
1018977,241519,"6","Morrison Avenue / Soundview","12","C",368,"6-all times"
1010513,186426,"A,C","Broadway Junction / East New York","33","",184,"A-all times, C-all times exc nights"
1015722,240423,"6","Whitlock Avenue","12","C",370,"6-all times"
980653,197127,"R,W","Rector Street","02","",22,"N-nights, R-all other times"
1012917,236623,"6","Longwood Avenue","12","C",372,"6-all times"
1014664,184382,"A,C","Van Siclen Avenue","33","",186,"A-nights, C-all other times"
1009813,233929,"6","East 143 Street / St. Mary's Street","12","C",374,"6-all times"
1010797,186802,"J,Z","Broadway Junction / Eastern Parkway","33","",92,"J-all times, Z-rush hours AM westbound, PM eastbound"
1006607,233505,"6","Brook Avenue","12","C",376,"6-all times"
1019726,185360,"A,C,S","Euclid Avenue","33","",188,"S to Ozone Park-Lefferts Blvd-nights, C-all other times, A-all times"
1017776,262108,"4","Woodlawn","11","",378,"4-all times"
994299,172790,"Q","Cortelyou Road","32","",46,"Q-all times"
1014654,257504,"4","Bedford Park Boulevard / Lehman College","11","",380,"4-all times"
1023361,186821,"A","80 Street","23","",190,"A-all times, S Euclid Av to Ozone Park-Lefferts Blvd-nights"
1011624,253635,"4","Fordham Road","11","",382,"4-all times"
1007369,189367,"J","Halsey Street","33","",94,"J-all times"
